cores, sizeM, sizeN, sizeK, time[s],gflops
1, 9000, 9000, 9000, 36.644875, 39.787283
2, 9000, 9000, 9000, 19.142185, 76.166854
3, 9000, 9000, 9000, 12.696817, 114.831927
4, 9000, 9000, 9000, 10.115313, 144.137906
5, 9000, 9000, 9000, 7.988459, 182.513298
6, 9000, 9000, 9000, 6.710215, 217.280679
7, 9000, 9000, 9000, 5.620768, 259.395149
8, 9000, 9000, 9000, 5.031373, 289.781742
9, 9000, 9000, 9000, 4.655471, 313.179904
10, 9000, 9000, 9000, 4.255146, 342.643953
11, 9000, 9000, 9000, 3.507434, 415.688516
12, 9000, 9000, 9000, 3.430422, 425.020566
14, 9000, 9000, 9000, 5.952972, 244.919682
16, 9000, 9000, 9000, 5.264690, 276.939399
18, 9000, 9000, 9000, 4.559204, 319.792636
20, 9000, 9000, 9000, 4.560095, 319.730210
22, 9000, 9000, 9000, 5.184487, 281.223559
24, 9000, 9000, 9000, 4.380069, 332.871486
26, 9000, 9000, 9000, 6.487370, 224.744391
28, 9000, 9000, 9000, 5.412941, 269.354507
30, 9000, 9000, 9000, 4.808815, 303.193207
32, 9000, 9000, 9000, 4.538126, 321.277995
34, 9000, 9000, 9000, 6.177283, 236.026100
36, 9000, 9000, 9000, 4.849897, 300.624959
38, 9000, 9000, 9000, 6.543873, 222.803832
40, 9000, 9000, 9000, 5.015621, 290.691808
42, 9000, 9000, 9000, 4.918669, 296.421675
44, 9000, 9000, 9000, 4.802596, 303.585792
46, 9000, 9000, 9000, 6.707019, 217.384193
48, 9000, 9000, 9000, 5.309417, 274.606397
50, 9000, 9000, 9000, 5.444587, 267.788902
52, 9000, 9000, 9000, 5.350772, 272.484057
54, 9000, 9000, 9000, 5.011694, 290.919571
56, 9000, 9000, 9000, 4.775968, 305.278440
58, 9000, 9000, 9000, 6.686915, 218.037764
60, 9000, 9000, 9000, 5.006508, 291.220974
62, 9000, 9000, 9000, 7.307659, 199.516707
64, 9000, 9000, 9000, 5.536285, 263.353513
