cores, sizeM, sizeN, sizeK, time[s],gflops
1, 9000, 9000, 9000, 17.614409, 82.773142
2, 9000, 9000, 9000, 9.155142, 159.254765
3, 9000, 9000, 9000, 6.085341, 239.592163
4, 9000, 9000, 9000, 5.107051, 285.487654
5, 9000, 9000, 9000, 3.707698, 393.235958
6, 9000, 9000, 9000, 2.996294, 486.601165
7, 9000, 9000, 9000, 2.643131, 551.618570
8, 9000, 9000, 9000, 2.417101, 603.201991
9, 9000, 9000, 9000, 2.208786, 660.091077
10, 9000, 9000, 9000, 1.901963, 766.576300
11, 9000, 9000, 9000, 1.676344, 869.749832
12, 9000, 9000, 9000, 1.593787, 914.802228
14, 9000, 9000, 9000, 3.599369, 405.070991
16, 9000, 9000, 9000, 3.243005, 449.583051
18, 9000, 9000, 9000, 2.517690, 579.102223
20, 9000, 9000, 9000, 2.572308, 566.806142
22, 9000, 9000, 9000, 3.386912, 430.480667
24, 9000, 9000, 9000, 2.374746, 613.960498
26, 9000, 9000, 9000, 4.107728, 354.940775
28, 9000, 9000, 9000, 3.380369, 431.313867
30, 9000, 9000, 9000, 2.901968, 502.417686
32, 9000, 9000, 9000, 2.844403, 512.585677
34, 9000, 9000, 9000, 4.291003, 339.780677
36, 9000, 9000, 9000, 2.709595, 538.087768
38, 9000, 9000, 9000, 4.614224, 315.979466
40, 9000, 9000, 9000, 2.891327, 504.266724
42, 9000, 9000, 9000, 3.156153, 461.954835
44, 9000, 9000, 9000, 2.842775, 512.879080
46, 9000, 9000, 9000, 4.813940, 302.870415
48, 9000, 9000, 9000, 3.009668, 484.438865
50, 9000, 9000, 9000, 3.571376, 408.246063
52, 9000, 9000, 9000, 3.388234, 430.312632
54, 9000, 9000, 9000, 3.106031, 469.409345
56, 9000, 9000, 9000, 3.027939, 481.515584
58, 9000, 9000, 9000, 4.594554, 317.332217
60, 9000, 9000, 9000, 3.016028, 483.417273
62, 9000, 9000, 9000, 5.312476, 274.448322
64, 9000, 9000, 9000, 3.393524, 429.641874
