cores, sizeM, sizeN, sizeK, time[s],gflops
1, 9000, 9000, 9000, 30.780436, 47.367749
2, 9000, 9000, 9000, 16.857863, 86.487830
3, 9000, 9000, 9000, 11.310317, 128.908853
4, 9000, 9000, 9000, 8.278392, 176.121153
5, 9000, 9000, 9000, 6.444009, 226.256683
6, 9000, 9000, 9000, 5.702290, 255.686765
7, 9000, 9000, 9000, 4.617532, 315.753080
8, 9000, 9000, 9000, 4.157452, 350.695577
9, 9000, 9000, 9000, 3.765884, 387.160062
10, 9000, 9000, 9000, 3.438413, 424.032838
11, 9000, 9000, 9000, 3.130419, 465.752300
12, 9000, 9000, 9000, 2.808309, 519.173723
14, 9000, 9000, 9000, 2.755370, 529.148540
16, 9000, 9000, 9000, 2.191760, 665.218794
18, 9000, 9000, 9000, 2.087881, 698.315659
20, 9000, 9000, 9000, 1.854401, 786.237697
22, 9000, 9000, 9000, 1.768962, 824.212123
24, 9000, 9000, 9000, 1.718801, 848.265647
26, 9000, 9000, 9000, 1.862684, 782.741459
28, 9000, 9000, 9000, 1.794619, 812.428494
30, 9000, 9000, 9000, 1.666229, 875.029556
32, 9000, 9000, 9000, 1.800322, 809.854935
34, 9000, 9000, 9000, 1.675912, 869.973875
36, 9000, 9000, 9000, 1.816050, 802.841206
38, 9000, 9000, 9000, 1.697629, 858.844819
40, 9000, 9000, 9000, 1.884364, 773.735804
42, 9000, 9000, 9000, 1.850266, 787.994773
44, 9000, 9000, 9000, 1.935593, 753.257363
46, 9000, 9000, 9000, 1.689348, 863.054612
48, 9000, 9000, 9000, 1.782534, 817.936584
50, 9000, 9000, 9000, 1.987500, 733.584865
52, 9000, 9000, 9000, 2.134580, 683.038361
54, 9000, 9000, 9000, 1.736177, 839.776013
56, 9000, 9000, 9000, 1.838104, 793.208740
58, 9000, 9000, 9000, 1.588692, 917.735958
60, 9000, 9000, 9000, 1.688371, 863.554355
62, 9000, 9000, 9000, 1.629255, 894.887357
64, 9000, 9000, 9000, 1.812086, 804.597697
