cores, sizeM, sizeN, sizeK, time[s],gflops
1, 9000, 9000, 9000, 14.981570, 97.319574
2, 9000, 9000, 9000, 7.650312, 190.580470
3, 9000, 9000, 9000, 5.183284, 281.288844
4, 9000, 9000, 9000, 3.963349, 367.870705
5, 9000, 9000, 9000, 3.114500, 468.132963
6, 9000, 9000, 9000, 2.741846, 531.758554
7, 9000, 9000, 9000, 2.258274, 645.625724
8, 9000, 9000, 9000, 1.969959, 740.116980
9, 9000, 9000, 9000, 1.780960, 818.659778
10, 9000, 9000, 9000, 1.700534, 857.377779
11, 9000, 9000, 9000, 1.505168, 968.662722
12, 9000, 9000, 9000, 1.352737, 1077.814862
14, 9000, 9000, 9000, 1.260182, 1156.975368
16, 9000, 9000, 9000, 1.065748, 1368.053351
18, 9000, 9000, 9000, 0.987211, 1476.888277
20, 9000, 9000, 9000, 0.960307, 1518.263871
22, 9000, 9000, 9000, 0.965297, 1510.415828
24, 9000, 9000, 9000, 0.900871, 1618.434314
26, 9000, 9000, 9000, 0.919746, 1585.219714
28, 9000, 9000, 9000, 0.888655, 1640.681180
30, 9000, 9000, 9000, 0.858484, 1698.342298
32, 9000, 9000, 9000, 0.896719, 1625.927713
34, 9000, 9000, 9000, 0.849829, 1715.638323
36, 9000, 9000, 9000, 0.876766, 1662.929097
38, 9000, 9000, 9000, 0.791697, 1841.612936
40, 9000, 9000, 9000, 0.913602, 1595.880507
42, 9000, 9000, 9000, 0.898275, 1623.110260
44, 9000, 9000, 9000, 1.064692, 1369.410748
46, 9000, 9000, 9000, 0.790389, 1844.662070
48, 9000, 9000, 9000, 0.925106, 1576.036347
50, 9000, 9000, 9000, 1.074461, 1356.959933
52, 9000, 9000, 9000, 1.205624, 1209.332174
54, 9000, 9000, 9000, 0.926556, 1573.568915
56, 9000, 9000, 9000, 1.041071, 1400.480577
58, 9000, 9000, 9000, 0.755020, 1931.074093
60, 9000, 9000, 9000, 0.941303, 1548.916371
62, 9000, 9000, 9000, 0.737838, 1976.042542
64, 9000, 9000, 9000, 1.130002, 1290.263206
