cores, sizeM, sizeN, sizeK, time[s],gflops
1, 9000, 9000, 9000, 17.707996, 82.335688
2, 9000, 9000, 9000, 9.124710, 159.785900
3, 9000, 9000, 9000, 6.087074, 239.523939
4, 9000, 9000, 9000, 4.545734, 320.740247
5, 9000, 9000, 9000, 3.563698, 409.125609
6, 9000, 9000, 9000, 2.982655, 488.826275
7, 9000, 9000, 9000, 2.549333, 571.914379
8, 9000, 9000, 9000, 2.222929, 655.891489
9, 9000, 9000, 9000, 1.994706, 730.934890
10, 9000, 9000, 9000, 1.820383, 800.930356
11, 9000, 9000, 9000, 1.650172, 883.544491
12, 9000, 9000, 9000, 1.538213, 947.853358
14, 9000, 9000, 9000, 3.784514, 385.254262
16, 9000, 9000, 9000, 2.603046, 560.112962
18, 9000, 9000, 9000, 2.775275, 525.353356
20, 9000, 9000, 9000, 2.256937, 646.008181
22, 9000, 9000, 9000, 3.238631, 450.190279
24, 9000, 9000, 9000, 2.364585, 616.598647
26, 9000, 9000, 9000, 3.769852, 386.752625
28, 9000, 9000, 9000, 2.980189, 489.230711
30, 9000, 9000, 9000, 2.833887, 514.487739
32, 9000, 9000, 9000, 2.673594, 545.333361
34, 9000, 9000, 9000, 4.145342, 351.720061
36, 9000, 9000, 9000, 2.778973, 524.654210
38, 9000, 9000, 9000, 4.454295, 327.324505
40, 9000, 9000, 9000, 2.989497, 487.707540
42, 9000, 9000, 9000, 3.047111, 478.485955
44, 9000, 9000, 9000, 2.887841, 504.875372
46, 9000, 9000, 9000, 4.744504, 307.302957
48, 9000, 9000, 9000, 3.072755, 474.492829
50, 9000, 9000, 9000, 3.514737, 414.824744
52, 9000, 9000, 9000, 3.364828, 433.305936
54, 9000, 9000, 9000, 3.004514, 485.269896
56, 9000, 9000, 9000, 3.037967, 479.926152
58, 9000, 9000, 9000, 4.664994, 312.540626
60, 9000, 9000, 9000, 2.918715, 499.534956
62, 9000, 9000, 9000, 5.062550, 287.997182
64, 9000, 9000, 9000, 3.464051, 420.894506
