cores, sizeM, sizeN, sizeK, time[s],gflops
1, 9000, 9000, 9000, 15.018785, 97.078422
2, 9000, 9000, 9000, 8.053541, 181.038384
3, 9000, 9000, 9000, 5.470346, 266.527952
4, 9000, 9000, 9000, 4.084318, 356.975157
5, 9000, 9000, 9000, 3.189956, 457.059525
6, 9000, 9000, 9000, 2.705119, 538.978087
7, 9000, 9000, 9000, 2.349103, 620.662560
8, 9000, 9000, 9000, 2.009558, 725.532808
9, 9000, 9000, 9000, 1.790044, 814.505285
10, 9000, 9000, 9000, 1.629462, 894.774007
11, 9000, 9000, 9000, 1.577592, 924.193411
12, 9000, 9000, 9000, 1.395109, 1045.079767
14, 9000, 9000, 9000, 1.217582, 1197.455541
16, 9000, 9000, 9000, 1.142080, 1276.617705
18, 9000, 9000, 9000, 1.143908, 1274.578414
20, 9000, 9000, 9000, 0.973702, 1497.378091
22, 9000, 9000, 9000, 0.880265, 1656.319731
24, 9000, 9000, 9000, 0.906072, 1609.143747
26, 9000, 9000, 9000, 0.849618, 1716.065796
28, 9000, 9000, 9000, 1.061838, 1373.090898
30, 9000, 9000, 9000, 0.933252, 1562.278406
32, 9000, 9000, 9000, 1.118781, 1303.203674
34, 9000, 9000, 9000, 0.796777, 1829.871162
36, 9000, 9000, 9000, 1.034380, 1409.539958
38, 9000, 9000, 9000, 0.795550, 1832.693360
40, 9000, 9000, 9000, 1.107486, 1316.495192
42, 9000, 9000, 9000, 1.062460, 1372.287127
44, 9000, 9000, 9000, 1.276138, 1142.509574
46, 9000, 9000, 9000, 0.805510, 1810.034496
48, 9000, 9000, 9000, 0.998823, 1459.717825
50, 9000, 9000, 9000, 1.199954, 1215.046768
52, 9000, 9000, 9000, 1.327265, 1098.499365
54, 9000, 9000, 9000, 0.965294, 1510.419901
56, 9000, 9000, 9000, 1.041037, 1400.526348
58, 9000, 9000, 9000, 0.781026, 1866.774522
60, 9000, 9000, 9000, 0.984976, 1480.238381
62, 9000, 9000, 9000, 0.787838, 1850.633297
64, 9000, 9000, 9000, 1.095120, 1331.360420
