cores, sizeM, sizeN, sizeK, time[s],gflops
64, 2000, 2000, 2000, 0.027658, 578.485328
64, 4000, 4000, 4000, 0.152690, 838.300153
64, 6000, 6000, 6000, 0.638416, 676.674485
64, 8000, 8000, 8000, 1.311547, 780.757593
64, 10000, 10000, 10000, 2.362939, 846.403557
64, 12000, 12000, 12000, 3.646437, 947.774494
64, 14000, 14000, 14000, 6.253422, 877.599512
64, 16000, 16000, 16000, 7.305080, 1121.411463
64, 18000, 18000, 18000, 9.728303, 1198.975837
64, 20000, 20000, 20000, 15.934346, 1004.120309
64, 2000, 2000, 10000, 0.105415, 758.906309
64, 4000, 4000, 10000, 0.397128, 805.785638
64, 6000, 6000, 10000, 1.021758, 704.668050
64, 8000, 8000, 10000, 1.648650, 776.392648
64, 10000, 10000, 10000, 2.370538, 843.690233
64, 12000, 12000, 10000, 3.216536, 895.373163
64, 14000, 14000, 10000, 4.163794, 941.449066
64, 16000, 16000, 10000, 5.807067, 881.684355
64, 18000, 18000, 10000, 6.327171, 1024.154335
64, 20000, 20000, 10000, 7.587703, 1054.337540
