cores, sizeM, sizeN, sizeK, time[s],gflops
64, 2000, 2000, 2000, 0.018975, 843.229910
64, 4000, 4000, 4000, 0.059838, 2139.104137
64, 6000, 6000, 6000, 0.223933, 1929.147469
64, 8000, 8000, 8000, 0.776505, 1318.728780
64, 10000, 10000, 10000, 1.365674, 1464.478351
64, 12000, 12000, 12000, 2.132471, 1620.655445
64, 14000, 14000, 14000, 3.027233, 1812.876587
64, 16000, 16000, 16000, 4.234837, 1934.430896
64, 18000, 18000, 18000, 6.981902, 1670.605025
64, 20000, 20000, 20000, 7.278884, 2198.139209
64, 2000, 2000, 10000, 0.059503, 1344.475111
64, 4000, 4000, 10000, 0.122852, 2604.770546
64, 6000, 6000, 10000, 0.375120, 1919.383694
64, 8000, 8000, 10000, 0.978329, 1308.353583
64, 10000, 10000, 10000, 1.367870, 1462.127178
64, 12000, 12000, 10000, 1.802912, 1597.415653
64, 14000, 14000, 10000, 2.313881, 1694.123492
64, 16000, 16000, 10000, 2.854226, 1793.831260
64, 18000, 18000, 10000, 3.515048, 1843.502784
64, 20000, 20000, 10000, 4.703080, 1701.013000
