cores,sizeM,sizeN,sizeK,time[s],gflops
1,9000, 9000, 9000, 78.727247, 18.519637
2,9000, 9000, 9000, 16.140885, 90.329620
3,9000, 9000, 9000, 10.714230, 136.080709
4,9000, 9000, 9000, 8.223345, 177.300123
5,9000, 9000, 9000, 6.526697, 223.390161
6,9000, 9000, 9000, 5.428875, 268.563938
7,9000, 9000, 9000, 4.733471, 308.019187
8,9000, 9000, 9000, 4.252983, 342.818204
9,9000, 9000, 9000, 3.884549, 375.333181
10,9000, 9000, 9000, 3.541802, 411.654803
11,9000, 9000, 9000, 3.337521, 436.851152
12,9000, 9000, 9000, 3.107300, 469.217600
14,9000, 9000, 9000, 2.774006, 525.593739
16,9000, 9000, 9000, 2.883113, 505.703410
18,9000, 9000, 9000, 2.616522, 557.228265
20,9000, 9000, 9000, 2.776226, 525.173307
22,9000, 9000, 9000, 2.541217, 573.740817
24,9000, 9000, 9000, 2.676773, 544.685628
26,9000, 9000, 9000, 2.406685, 605.812525
28,9000, 9000, 9000, 2.540312, 573.945205
30,9000, 9000, 9000, 2.318634, 628.818461
32,9000, 9000, 9000, 2.467039, 590.991785
34,9000, 9000, 9000, 2.362396, 617.170145
36,9000, 9000, 9000, 2.454925, 593.908058
38,9000, 9000, 9000, 2.308083, 631.692959
40,9000, 9000, 9000, 2.330710, 625.560502
42,9000, 9000, 9000, 2.308343, 631.621985
44,9000, 9000, 9000, 2.299348, 634.092668
46,9000, 9000, 9000, 2.281743, 638.985243
48,9000, 9000, 9000, 2.487611, 586.104612
50,9000, 9000, 9000, 2.331920, 625.235871
52,9000, 9000, 9000, 2.559537, 569.634211
54,9000, 9000, 9000, 2.430247, 599.939000
56,9000, 9000, 9000, 2.636550, 552.995491
58,9000, 9000, 9000, 2.282480, 638.778947
60,9000, 9000, 9000, 2.688690, 542.271491
62,9000, 9000, 9000, 2.431423, 599.648810
64,9000, 9000, 9000, 2.690528, 541.901093
