cores,sizeM,sizeN,sizeK,time[s],gflops
1,2,9000, 9000, 9000, 16.061723, 90.774822
3,9000, 9000, 9000, 10.770953, 135.364071
4,9000, 9000, 9000, 8.181695, 178.202686
5,9000, 9000, 9000, 6.437668, 226.479539
6,9000, 9000, 9000, 5.400788, 269.960590
7,9000, 9000, 9000, 4.668668, 312.294652
8,9000, 9000, 9000, 4.286622, 340.127999
9,9000, 9000, 9000, 3.786903, 385.011157
10,9000, 9000, 9000, 3.508581, 415.552614
11,9000, 9000, 9000, 3.286814, 443.590632
12,9000, 9000, 9000, 3.084727, 472.651192
14,9000, 9000, 9000, 2.763418, 527.607388
16,9000, 9000, 9000, 2.832575, 514.726075
18,9000, 9000, 9000, 2.610960, 558.415233
20,9000, 9000, 9000, 2.683095, 543.402389
22,9000, 9000, 9000, 2.537898, 574.491171
24,9000, 9000, 9000, 2.618796, 556.744495
26,9000, 9000, 9000, 2.400025, 607.493703
28,9000, 9000, 9000, 2.560648, 569.387115
30,9000, 9000, 9000, 2.328473, 626.161315
32,9000, 9000, 9000, 2.498186, 583.623581
34,9000, 9000, 9000, 2.293607, 635.679861
36,9000, 9000, 9000, 2.499408, 583.338054
38,9000, 9000, 9000, 2.272476, 641.590961
40,9000, 9000, 9000, 2.462523, 592.075675
42,9000, 9000, 9000, 2.348152, 620.913818
44,9000, 9000, 9000, 2.456805, 593.453623
46,9000, 9000, 9000, 2.252308, 647.335848
48,9000, 9000, 9000, 2.487631, 586.099718
50,9000, 9000, 9000, 2.168132, 672.468384
52,9000, 9000, 9000, 2.553297, 571.026482
54,9000, 9000, 9000, 2.380874, 612.380209
56,9000, 9000, 9000, 2.610966, 558.413955
58,9000, 9000, 9000, 2.305170, 632.491309
60,9000, 9000, 9000, 2.669721, 546.124436
62,9000, 9000, 9000, 2.439143, 597.750851
64,9000, 9000, 9000, 2.380655, 612.436467
