cores,sizeM,sizeN,sizeK,time[s],gflops
1,9000, 9000, 9000, 11.197915, 130.202804
2,9000, 9000, 9000, 5.701140, 255.738331
3,9000, 9000, 9000, 3.642660, 400.256940
4,9000, 9000, 9000, 2.719942, 536.040773
5,9000, 9000, 9000, 2.175439, 670.209664
6,9000, 9000, 9000, 1.810746, 805.192822
7,9000, 9000, 9000, 1.579514, 923.068603
8,9000, 9000, 9000, 1.379062, 1057.240419
9,9000, 9000, 9000, 1.241079, 1174.783905
10,9000, 9000, 9000, 1.116080, 1306.357631
11,9000, 9000, 9000, 1.000453, 1457.339397
12,9000, 9000, 9000, 0.911263, 1599.977361
