cores,sizeM,sizeN,sizeK,time[s],gflops
1,9000, 9000, 9000, 10.935067, 133.332519
2,9000, 9000, 9000, 5.661179, 257.543518
3,9000, 9000, 9000, 3.684645, 395.696148
4,9000, 9000, 9000, 2.735744, 532.944574
5,9000, 9000, 9000, 2.189231, 665.987336
6,9000, 9000, 9000, 1.814002, 803.747702
7,9000, 9000, 9000, 1.598584, 912.057246
8,9000, 9000, 9000, 1.392696, 1046.890640
9,9000, 9000, 9000, 1.240332, 1175.491736
10,9000, 9000, 9000, 1.119566, 1302.290124
11,9000, 9000, 9000, 0.999894, 1458.155072
12,9000, 9000, 9000, 0.919142, 1586.261159
