cores,sizeM,sizeN,sizeK,time[s],gflops
1,2,9000, 9000, 9000, 15.850857, 91.982405
3,9000, 9000, 9000, 10.424676, 139.860459
4,9000, 9000, 9000, 7.903870, 184.466597
5,9000, 9000, 9000, 6.304848, 231.250626
6,9000, 9000, 9000, 5.315234, 274.305872
7,9000, 9000, 9000, 4.693655, 310.632103
8,9000, 9000, 9000, 4.136849, 352.442195
9,9000, 9000, 9000, 3.696011, 394.479396
10,9000, 9000, 9000, 3.381756, 431.136966
11,9000, 9000, 9000, 3.120393, 467.248897
12,9000, 9000, 9000, 2.993832, 487.001261
14,9000, 9000, 9000, 2.601222, 560.505686
16,9000, 9000, 9000, 2.374480, 614.029089
18,9000, 9000, 9000, 2.059519, 707.932183
20,9000, 9000, 9000, 1.889284, 771.721126
22,9000, 9000, 9000, 1.794988, 812.261823
24,9000, 9000, 9000, 1.739599, 838.124297
26,9000, 9000, 9000, 1.717397, 848.959216
28,9000, 9000, 9000, 1.658483, 879.116741
30,9000, 9000, 9000, 1.618190, 901.006612
32,9000, 9000, 9000, 1.606120, 907.777483
34,9000, 9000, 9000, 1.670551, 872.766168
36,9000, 9000, 9000, 1.620060, 899.966763
38,9000, 9000, 9000, 1.703477, 855.896505
40,9000, 9000, 9000, 1.667654, 874.282152
42,9000, 9000, 9000, 1.681428, 867.120309
44,9000, 9000, 9000, 1.598613, 912.040706
46,9000, 9000, 9000, 1.659705, 878.469604
48,9000, 9000, 9000, 1.679432, 868.150481
50,9000, 9000, 9000, 1.679331, 868.203073
52,9000, 9000, 9000, 1.794336, 812.556907
54,9000, 9000, 9000, 1.840189, 792.310101
56,9000, 9000, 9000, 1.697891, 858.712607
58,9000, 9000, 9000, 1.905020, 765.346301
60,9000, 9000, 9000, 1.868891, 780.141800
62,9000, 9000, 9000, 1.841150, 791.896442
64,9000, 9000, 9000, 1.809301, 805.836078
