cores,sizeM,sizeN,sizeK,time[s],gflops
1,9000, 9000, 9000, 10.680919, 136.505103
2,9000, 9000, 9000, 5.635673, 258.709112
3,9000, 9000, 9000, 3.642541, 400.269979
4,9000, 9000, 9000, 2.718224, 536.379629
5,9000, 9000, 9000, 2.207355, 660.518947
6,9000, 9000, 9000, 1.823222, 799.683140
7,9000, 9000, 9000, 1.685848, 864.846632
8,9000, 9000, 9000, 1.485694, 981.359501
9,9000, 9000, 9000, 1.350218, 1079.825792
10,9000, 9000, 9000, 1.188753, 1226.495824
11,9000, 9000, 9000, 1.006110, 1449.146002
12,9000, 9000, 9000, 0.943550, 1545.228229
