cores,sizeM,sizeN,sizeK,time[s],gflops
1,9000, 9000, 9000, 15.359154, 94.927104
2,9000, 9000, 9000, 7.795336, 187.034905
3,9000, 9000, 9000, 5.135399, 283.911710
4,9000, 9000, 9000, 3.849842, 378.716829
5,9000, 9000, 9000, 3.058306, 476.734466
6,9000, 9000, 9000, 2.621513, 556.167290
7,9000, 9000, 9000, 2.301259, 633.566360
8,9000, 9000, 9000, 2.051138, 710.824951
9,9000, 9000, 9000, 1.798752, 810.562141
10,9000, 9000, 9000, 1.654752, 881.098724
11,9000, 9000, 9000, 1.511766, 964.434739
12,9000, 9000, 9000, 1.460422, 998.341827
14,9000, 9000, 9000, 1.279818, 1139.224411
16,9000, 9000, 9000, 1.143605, 1274.915706
18,9000, 9000, 9000, 1.028445, 1417.674019
20,9000, 9000, 9000, 0.949719, 1535.190145
22,9000, 9000, 9000, 0.915205, 1593.086414
24,9000, 9000, 9000, 0.928843, 1569.694871
26,9000, 9000, 9000, 0.940937, 1549.519315
28,9000, 9000, 9000, 0.933238, 1562.303143
30,9000, 9000, 9000, 0.725377, 2009.989909
32,9000, 9000, 9000, 0.731641, 1992.781631
34,9000, 9000, 9000, 0.751185, 1940.933535
36,9000, 9000, 9000, 0.738107, 1975.323093
38,9000, 9000, 9000, 0.773332, 1885.346979
40,9000, 9000, 9000, 0.773974, 1883.784022
42,9000, 9000, 9000, 0.808904, 1802.439134
44,9000, 9000, 9000, 0.783608, 1860.623978
46,9000, 9000, 9000, 0.800128, 1822.209298
48,9000, 9000, 9000, 0.830238, 1756.123643
50,9000, 9000, 9000, 0.875404, 1665.516529
52,9000, 9000, 9000, 0.934991, 1559.372575
54,9000, 9000, 9000, 0.971251, 1501.156445
56,9000, 9000, 9000, 0.971278, 1501.115717
58,9000, 9000, 9000, 1.003406, 1453.051395
60,9000, 9000, 9000, 0.999648, 1458.514052
62,9000, 9000, 9000, 1.062734, 1371.932880
64,9000, 9000, 9000, 0.998848, 1459.681597
