cores,sizeM,sizeN,sizeK,time[s],gflops
1,9000, 9000, 9000, 10.707671, 136.164059
2,9000, 9000, 9000, 5.608218, 259.975625
3,9000, 9000, 9000, 3.672417, 397.013737
4,9000, 9000, 9000, 2.735446, 533.002638
5,9000, 9000, 9000, 2.197970, 663.339356
6,9000, 9000, 9000, 1.806525, 807.074459
7,9000, 9000, 9000, 1.632182, 893.282798
8,9000, 9000, 9000, 1.518613, 960.086330
9,9000, 9000, 9000, 1.370111, 1064.147133
10,9000, 9000, 9000, 1.189726, 1225.491744
11,9000, 9000, 9000, 1.002716, 1454.050180
12,9000, 9000, 9000, 0.913452, 1596.143483
