cores,sizeM,sizeN,sizeK,time[s],gflops
1,9000, 9000, 9000, 25.028813, 58.252862
2,9000, 9000, 9000, 12.832357, 113.619036
3,9000, 9000, 9000, 12.469669, 116.923709
4,9000, 9000, 9000, 8.273476, 176.225799
5,9000, 9000, 9000, 6.364638, 229.078228
6,9000, 9000, 9000, 4.435466, 328.714016
7,9000, 9000, 9000, 4.563352, 319.501993
8,9000, 9000, 9000, 3.402101, 428.558682
9,9000, 9000, 9000, 3.446590, 423.026802
10,9000, 9000, 9000, 3.167094, 460.358928
11,9000, 9000, 9000, 2.891786, 504.186658
12,9000, 9000, 9000, 2.492458, 584.964775
14,9000, 9000, 9000, 2.174924, 670.368219
16,9000, 9000, 9000, 2.040322, 714.593211
18,9000, 9000, 9000, 1.771244, 823.150129
20,9000, 9000, 9000, 1.637855, 890.188945
22,9000, 9000, 9000, 1.580120, 922.714659
24,9000, 9000, 9000, 1.465684, 994.757334
26,9000, 9000, 9000, 1.408165, 1035.390178
28,9000, 9000, 9000, 1.353037, 1077.575650
30,9000, 9000, 9000, 1.289233, 1130.904866
32,9000, 9000, 9000, 1.280525, 1138.595426
34,9000, 9000, 9000, 1.274493, 1143.984359
36,9000, 9000, 9000, 1.251023, 1165.446587
38,9000, 9000, 9000, 1.200349, 1214.646899
40,9000, 9000, 9000, 1.129985, 1290.282327
42,9000, 9000, 9000, 1.128551, 1291.921724
44,9000, 9000, 9000, 1.156402, 1260.807075
46,9000, 9000, 9000, 1.121987, 1299.480620
48,9000, 9000, 9000, 1.141613, 1277.139943
50,9000, 9000, 9000, 1.139320, 1279.711251
52,9000, 9000, 9000, 1.229539, 1185.810360
54,9000, 9000, 9000, 1.154130, 1263.289575
56,9000, 9000, 9000, 1.186718, 1228.598153
58,9000, 9000, 9000, 1.275030, 1143.502744
60,9000, 9000, 9000, 1.177582, 1238.129907
62,9000, 9000, 9000, 1.392863, 1046.764537
64,9000, 9000, 9000, 1.151193, 1266.511712
