cores,sizeM,sizeN,sizeK,time[s],gflops
1,9000, 9000, 9000, 23.399870, 62.308038
2,9000, 9000, 9000, 11.917572, 122.340359
3,9000, 9000, 9000, 11.880933, 122.717634
4,9000, 9000, 9000, 7.932485, 183.801176
5,9000, 9000, 9000, 6.000716, 242.971020
6,9000, 9000, 9000, 4.099789, 355.628042
7,9000, 9000, 9000, 4.127090, 353.275587
8,9000, 9000, 9000, 3.190042, 457.047226
9,9000, 9000, 9000, 3.236802, 450.444648
10,9000, 9000, 9000, 2.878633, 506.490385
11,9000, 9000, 9000, 2.610471, 558.519931
12,9000, 9000, 9000, 2.279912, 639.498325
14,9000, 9000, 9000, 1.999211, 729.287654
16,9000, 9000, 9000, 1.918368, 760.021078
18,9000, 9000, 9000, 1.668906, 873.626091
20,9000, 9000, 9000, 1.589986, 916.989056
22,9000, 9000, 9000, 1.515466, 962.080111
24,9000, 9000, 9000, 1.406630, 1036.520015
26,9000, 9000, 9000, 1.366559, 1066.913588
28,9000, 9000, 9000, 1.299042, 1122.365681
30,9000, 9000, 9000, 1.239243, 1176.524710
32,9000, 9000, 9000, 1.268362, 1149.514021
34,9000, 9000, 9000, 1.275501, 1143.080266
36,9000, 9000, 9000, 1.168901, 1247.325365
38,9000, 9000, 9000, 1.209501, 1205.455507
40,9000, 9000, 9000, 1.119619, 1302.228232
42,9000, 9000, 9000, 1.126361, 1294.434495
44,9000, 9000, 9000, 1.130303, 1289.919624
46,9000, 9000, 9000, 1.091320, 1335.996421
48,9000, 9000, 9000, 1.117161, 1305.093844
50,9000, 9000, 9000, 1.120957, 1300.674815
52,9000, 9000, 9000, 1.191201, 1223.974347
54,9000, 9000, 9000, 1.172576, 1243.415743
56,9000, 9000, 9000, 1.164916, 1251.592234
58,9000, 9000, 9000, 1.250823, 1165.632888
60,9000, 9000, 9000, 1.176835, 1238.915782
62,9000, 9000, 9000, 1.378923, 1057.346576
64,9000, 9000, 9000, 1.164014, 1252.562718
