cores,sizeM,sizeN,sizeK,time[s],gflops
1,9000, 9000, 9000, 62.183772, 23.446632
2,9000, 9000, 9000, 15.907642, 91.654063
3,9000, 9000, 9000, 10.533354, 138.417448
4,9000, 9000, 9000, 7.905498, 184.428599
5,9000, 9000, 9000, 6.319936, 230.698533
6,9000, 9000, 9000, 5.327280, 273.685616
7,9000, 9000, 9000, 4.712702, 309.376672
8,9000, 9000, 9000, 4.186400, 348.270575
9,9000, 9000, 9000, 3.718977, 392.043322
10,9000, 9000, 9000, 3.435326, 424.413921
11,9000, 9000, 9000, 3.124383, 466.652100
12,9000, 9000, 9000, 3.010664, 484.278591
14,9000, 9000, 9000, 2.617832, 556.949438
16,9000, 9000, 9000, 2.395141, 608.732411
18,9000, 9000, 9000, 2.077806, 701.701692
20,9000, 9000, 9000, 1.908113, 764.105679
22,9000, 9000, 9000, 1.802471, 808.889678
24,9000, 9000, 9000, 1.757247, 829.706845
26,9000, 9000, 9000, 1.661233, 877.661172
28,9000, 9000, 9000, 1.616357, 902.028390
30,9000, 9000, 9000, 1.637595, 890.329936
32,9000, 9000, 9000, 1.614950, 902.814579
34,9000, 9000, 9000, 1.697194, 859.064818
36,9000, 9000, 9000, 1.694591, 860.384513
38,9000, 9000, 9000, 1.667838, 874.185549
40,9000, 9000, 9000, 1.660359, 878.123178
42,9000, 9000, 9000, 1.674637, 870.636279
44,9000, 9000, 9000, 1.700794, 857.246868
46,9000, 9000, 9000, 1.725601, 844.922867
48,9000, 9000, 9000, 1.743003, 836.487196
50,9000, 9000, 9000, 1.849637, 788.262827
52,9000, 9000, 9000, 1.832136, 795.792619
54,9000, 9000, 9000, 1.842691, 791.234106
56,9000, 9000, 9000, 1.859796, 783.957069
58,9000, 9000, 9000, 1.878617, 776.102888
60,9000, 9000, 9000, 1.845005, 790.241697
62,9000, 9000, 9000, 1.915249, 761.258609
64,9000, 9000, 9000, 1.950458, 747.516578
