cores,sizeM,sizeN,sizeK,time[s],gflops
1,9000, 9000, 9000, 15.110717, 96.487807
2,9000, 9000, 9000, 7.785952, 187.260334
3,9000, 9000, 9000, 5.080070, 287.003935
4,9000, 9000, 9000, 3.854520, 378.257185
5,9000, 9000, 9000, 3.080508, 473.298501
6,9000, 9000, 9000, 2.596291, 561.570390
7,9000, 9000, 9000, 2.340814, 622.860338
8,9000, 9000, 9000, 2.024127, 720.310499
9,9000, 9000, 9000, 1.799533, 810.210017
10,9000, 9000, 9000, 1.664677, 875.845798
11,9000, 9000, 9000, 1.537754, 948.136248
12,9000, 9000, 9000, 1.436010, 1015.313173
14,9000, 9000, 9000, 1.287601, 1132.338363
16,9000, 9000, 9000, 1.161829, 1254.917636
18,9000, 9000, 9000, 1.032422, 1412.213635
20,9000, 9000, 9000, 0.976227, 1493.505481
22,9000, 9000, 9000, 0.930145, 1567.497649
24,9000, 9000, 9000, 0.960271, 1518.321232
26,9000, 9000, 9000, 0.967312, 1507.270220
28,9000, 9000, 9000, 1.005017, 1450.721819
30,9000, 9000, 9000, 0.747888, 1949.488741
32,9000, 9000, 9000, 0.717356, 2032.464709
34,9000, 9000, 9000, 0.765318, 1905.090555
36,9000, 9000, 9000, 0.791182, 1842.811959
38,9000, 9000, 9000, 0.831026, 1754.458739
40,9000, 9000, 9000, 0.825714, 1765.745315
42,9000, 9000, 9000, 0.859244, 1696.841187
44,9000, 9000, 9000, 0.819712, 1778.673993
46,9000, 9000, 9000, 0.910842, 1600.716265
48,9000, 9000, 9000, 0.901013, 1618.177969
50,9000, 9000, 9000, 0.926672, 1573.371908
52,9000, 9000, 9000, 0.972488, 1499.246596
54,9000, 9000, 9000, 1.138592, 1280.529086
56,9000, 9000, 9000, 1.054529, 1382.607373
58,9000, 9000, 9000, 1.128280, 1292.232094
60,9000, 9000, 9000, 1.091522, 1335.749886
62,9000, 9000, 9000, 1.121556, 1299.979437
64,9000, 9000, 9000, 1.091941, 1335.236769
