cores, sizeM, sizeN, sizeK, time[s],gflops
12, 2000, 2000, 2000, 0.065952, 242.602272
12, 4000, 4000, 4000, 0.154032, 830.994905
12, 6000, 6000, 6000, 0.485705, 889.427981
12, 8000, 8000, 8000, 1.153451, 887.770502
12, 10000, 10000, 10000, 2.314304, 864.190755
12, 12000, 12000, 12000, 4.017318, 860.275458
12, 14000, 14000, 14000, 6.375736, 860.763370
12, 16000, 16000, 16000, 9.154074, 894.902104
12, 18000, 18000, 18000, 13.135450, 887.978710
12, 20000, 20000, 20000, 18.755165, 853.098353
12, 2000, 2000, 10000, 0.110685, 722.773345
12, 4000, 4000, 10000, 0.366563, 872.973431
12, 6000, 6000, 10000, 0.799619, 900.428295
12, 8000, 8000, 10000, 1.482300, 863.523161
12, 10000, 10000, 10000, 2.305255, 867.582877
12, 12000, 12000, 10000, 3.287755, 875.977805
12, 14000, 14000, 10000, 4.497266, 871.640656
12, 16000, 16000, 10000, 6.155100, 831.830507
12, 18000, 18000, 10000, 7.458218, 868.840241
12, 20000, 20000, 10000, 9.120008, 877.192217
