cores, sizeM, sizeN, sizeK, time[s],gflops
12, 2000, 2000, 2000, 0.296334, 53.993118
12, 4000, 4000, 4000, 0.087033, 1470.710248
12, 6000, 6000, 6000, 0.266998, 1617.987884
12, 8000, 8000, 8000, 0.579313, 1767.609851
12, 10000, 10000, 10000, 1.175329, 1701.651821
12, 12000, 12000, 12000, 1.985329, 1740.769115
12, 14000, 14000, 14000, 3.073794, 1785.415392
12, 16000, 16000, 16000, 4.658990, 1758.321049
12, 18000, 18000, 18000, 6.607376, 1765.299747
12, 20000, 20000, 20000, 9.260033, 1727.855553
12, 2000, 2000, 10000, 0.059855, 1336.557779
12, 4000, 4000, 10000, 0.199664, 1602.688590
12, 6000, 6000, 10000, 0.430677, 1671.787526
12, 8000, 8000, 10000, 0.725841, 1763.472513
12, 10000, 10000, 10000, 1.169007, 1710.853652
12, 12000, 12000, 10000, 1.673466, 1720.979042
12, 14000, 14000, 10000, 2.256954, 1736.853943
12, 16000, 16000, 10000, 2.904303, 1762.901514
12, 18000, 18000, 10000, 3.756965, 1724.796500
12, 20000, 20000, 10000, 4.722114, 1694.156597
