cores, sizeM, sizeN, sizeK, time[s],gflops
64, 2000, 2000, 2000, 0.331221, 48.306101
64, 4000, 4000, 4000, 0.083874, 1526.095433
64, 6000, 6000, 6000, 0.267808, 1613.098015
64, 8000, 8000, 8000, 0.806261, 1270.060908
64, 10000, 10000, 10000, 1.605704, 1245.559393
64, 12000, 12000, 12000, 2.449710, 1410.779350
64, 14000, 14000, 14000, 3.989675, 1375.550613
64, 16000, 16000, 16000, 6.359916, 1288.067271
64, 18000, 18000, 18000, 7.300249, 1597.753711
64, 20000, 20000, 20000, 8.754234, 1827.686963
64, 2000, 2000, 10000, 0.066108, 1210.139462
64, 4000, 4000, 10000, 0.154605, 2069.785188
64, 6000, 6000, 10000, 0.435606, 1652.871138
64, 8000, 8000, 10000, 0.992712, 1289.396960
64, 10000, 10000, 10000, 1.601600, 1248.750997
64, 12000, 12000, 10000, 2.278719, 1263.867875
64, 14000, 14000, 10000, 3.049988, 1285.251121
64, 16000, 16000, 10000, 3.362796, 1522.542536
64, 18000, 18000, 10000, 4.842206, 1338.232974
64, 20000, 20000, 10000, 6.104040, 1310.607416
