cores, sizeM, sizeN, sizeK, time[s],gflops
12, 2000, 2000, 2000, 0.030369, 526.855400
12, 4000, 4000, 4000, 0.188823, 677.884088
12, 6000, 6000, 6000, 0.583919, 739.828952
12, 8000, 8000, 8000, 1.377838, 743.193536
12, 10000, 10000, 10000, 2.621100, 763.038313
12, 12000, 12000, 12000, 4.729472, 730.736897
12, 14000, 14000, 14000, 7.244643, 757.525242
12, 16000, 16000, 16000, 10.493343, 780.685450
12, 18000, 18000, 18000, 14.665398, 795.341533
12, 20000, 20000, 20000, 22.754971, 703.143072
12, 2000, 2000, 10000, 0.121288, 659.586223
12, 4000, 4000, 10000, 0.424116, 754.511217
12, 6000, 6000, 10000, 0.984370, 731.432049
12, 8000, 8000, 10000, 1.704454, 750.973758
12, 10000, 10000, 10000, 2.828248, 707.151441
12, 12000, 12000, 10000, 3.774475, 763.019926
12, 14000, 14000, 10000, 5.474525, 716.043903
12, 16000, 16000, 10000, 6.696876, 764.535575
12, 18000, 18000, 10000, 8.540865, 758.705388
12, 20000, 20000, 10000, 10.787175, 741.621421
