cores, sizeM, sizeN, sizeK, time[s],gflops
64, 2000, 2000, 2000, 0.047325, 338.085777
64, 4000, 4000, 4000, 0.238987, 535.593800
64, 6000, 6000, 6000, 0.764616, 564.989275
64, 8000, 8000, 8000, 1.441771, 710.237406
64, 10000, 10000, 10000, 2.587153, 773.050618
64, 12000, 12000, 12000, 3.658516, 944.645376
64, 14000, 14000, 14000, 6.532435, 840.115492
64, 16000, 16000, 16000, 6.625409, 1236.451951
64, 18000, 18000, 18000, 8.918243, 1307.880892
64, 20000, 20000, 20000, 18.203805, 878.937120
64, 2000, 2000, 10000, 0.191947, 416.781206
64, 4000, 4000, 10000, 0.586891, 545.245638
64, 6000, 6000, 10000, 1.171395, 614.651956
64, 8000, 8000, 10000, 1.735707, 737.451720
64, 10000, 10000, 10000, 2.518539, 794.111112
64, 12000, 12000, 10000, 3.373412, 853.734978
64, 14000, 14000, 10000, 4.244902, 923.460754
64, 16000, 16000, 10000, 6.018558, 850.702057
64, 18000, 18000, 10000, 7.522537, 861.411514
64, 20000, 20000, 10000, 7.451965, 1073.542396
