cores, sizeM, sizeN, sizeK, time[s],gflops
64, 2000, 2000, 2000, 0.025803, 620.087454
64, 4000, 4000, 4000, 0.115837, 1104.998742
64, 6000, 6000, 6000, 0.337985, 1278.164862
64, 8000, 8000, 8000, 0.769897, 1330.047455
64, 10000, 10000, 10000, 1.696436, 1178.942007
64, 12000, 12000, 12000, 1.968340, 1755.793916
64, 14000, 14000, 14000, 3.036650, 1807.254426
64, 16000, 16000, 16000, 4.251674, 1926.770684
64, 18000, 18000, 18000, 5.089873, 2291.609058
64, 20000, 20000, 20000, 6.475706, 2470.772984
64, 2000, 2000, 10000, 0.093794, 852.929722
64, 4000, 4000, 10000, 0.262485, 1219.119387
64, 6000, 6000, 10000, 0.554827, 1297.702798
64, 8000, 8000, 10000, 0.965397, 1325.879113
64, 10000, 10000, 10000, 1.362948, 1467.407360
64, 12000, 12000, 10000, 1.697177, 1696.935684
64, 14000, 14000, 10000, 2.415373, 1622.937642
64, 16000, 16000, 10000, 2.768310, 1849.503865
64, 18000, 18000, 10000, 3.237322, 2001.654657
64, 20000, 20000, 10000, 3.635821, 2200.328597
