cores, sizeM, sizeN, sizeK, time[s],gflops
12, 2000, 2000, 2000, 0.015984, 1001.019914
12, 4000, 4000, 4000, 0.086501, 1479.746000
12, 6000, 6000, 6000, 0.285750, 1511.811013
12, 8000, 8000, 8000, 0.614411, 1666.636920
12, 10000, 10000, 10000, 1.224327, 1633.550794
12, 12000, 12000, 12000, 2.132948, 1620.292670
12, 14000, 14000, 14000, 3.224449, 1701.996361
12, 16000, 16000, 16000, 4.907978, 1669.119088
12, 18000, 18000, 18000, 6.993775, 1667.768928
12, 20000, 20000, 20000, 9.575718, 1670.892940
12, 2000, 2000, 10000, 0.061781, 1294.896468
12, 4000, 4000, 10000, 0.203743, 1570.602568
12, 6000, 6000, 10000, 0.451623, 1594.248938
12, 8000, 8000, 10000, 0.752090, 1701.924633
12, 10000, 10000, 10000, 1.218293, 1641.641330
12, 12000, 12000, 10000, 1.745507, 1649.950278
12, 14000, 14000, 10000, 2.415039, 1623.162373
12, 16000, 16000, 10000, 2.996672, 1708.561799
12, 18000, 18000, 10000, 4.057007, 1597.236425
12, 20000, 20000, 10000, 4.789319, 1670.383735
