cores, sizeM, sizeN, sizeK, time[s],gflops
1, 9000, 9000, 9000, 30.601833, 47.644205
2, 9000, 9000, 9000, 15.802934, 92.261351
3, 9000, 9000, 9000, 10.946212, 133.196765
4, 9000, 9000, 9000, 8.585195, 169.827247
5, 9000, 9000, 9000, 6.866994, 212.319990
6, 9000, 9000, 9000, 5.957924, 244.716110
7, 9000, 9000, 9000, 4.649417, 313.587676
8, 9000, 9000, 9000, 4.127222, 353.264294
9, 9000, 9000, 9000, 3.943721, 369.701600
10, 9000, 9000, 9000, 3.726535, 391.248217
11, 9000, 9000, 9000, 2.960025, 492.563447
12, 9000, 9000, 9000, 2.830350, 515.130606
14, 9000, 9000, 9000, 2.814229, 518.081563
16, 9000, 9000, 9000, 2.126917, 685.499110
18, 9000, 9000, 9000, 1.967073, 741.202623
20, 9000, 9000, 9000, 1.839886, 792.440531
22, 9000, 9000, 9000, 2.094071, 696.251343
24, 9000, 9000, 9000, 1.790783, 814.169130
26, 9000, 9000, 9000, 1.925488, 757.210817
28, 9000, 9000, 9000, 1.636624, 890.858362
30, 9000, 9000, 9000, 1.633228, 892.710735
32, 9000, 9000, 9000, 1.677131, 869.341921
34, 9000, 9000, 9000, 1.747485, 834.341882
36, 9000, 9000, 9000, 1.633606, 892.504270
38, 9000, 9000, 9000, 1.574521, 925.995721
40, 9000, 9000, 9000, 1.687608, 863.944729
42, 9000, 9000, 9000, 1.644227, 886.739104
44, 9000, 9000, 9000, 1.811821, 804.715074
46, 9000, 9000, 9000, 1.600390, 911.028090
48, 9000, 9000, 9000, 1.612988, 903.912436
50, 9000, 9000, 9000, 1.825815, 798.547329
52, 9000, 9000, 9000, 1.988277, 733.298188
54, 9000, 9000, 9000, 1.672235, 871.887281
56, 9000, 9000, 9000, 1.735978, 839.872189
58, 9000, 9000, 9000, 1.564922, 931.675688
60, 9000, 9000, 9000, 1.693223, 861.079891
62, 9000, 9000, 9000, 1.556475, 936.732263
64, 9000, 9000, 9000, 1.807131, 806.803637
