cores, sizeM, sizeN, sizeK, time[s],gflops
1, 9000, 9000, 9000, 84.593972, 17.235271
2, 9000, 9000, 9000, 16.196147, 90.021413
3, 9000, 9000, 9000, 10.654714, 136.840837
4, 9000, 9000, 9000, 8.302545, 175.608800
5, 9000, 9000, 9000, 6.471403, 225.298891
6, 9000, 9000, 9000, 5.532141, 263.550765
7, 9000, 9000, 9000, 4.838498, 301.333170
8, 9000, 9000, 9000, 4.446762, 327.879045
9, 9000, 9000, 9000, 4.068992, 358.319731
10, 9000, 9000, 9000, 3.597978, 405.227607
11, 9000, 9000, 9000, 3.427553, 425.376361
12, 9000, 9000, 9000, 3.351299, 435.055174
14, 9000, 9000, 9000, 3.058293, 476.736547
16, 9000, 9000, 9000, 3.002524, 485.591490
18, 9000, 9000, 9000, 2.691616, 541.682099
20, 9000, 9000, 9000, 2.782728, 523.946317
22, 9000, 9000, 9000, 2.585456, 563.923763
24, 9000, 9000, 9000, 2.714850, 537.046261
26, 9000, 9000, 9000, 2.494395, 584.510584
28, 9000, 9000, 9000, 2.648452, 550.510171
30, 9000, 9000, 9000, 2.393903, 609.047113
32, 9000, 9000, 9000, 2.600606, 560.638610
34, 9000, 9000, 9000, 2.393655, 609.110370
36, 9000, 9000, 9000, 2.541117, 573.763412
38, 9000, 9000, 9000, 2.361656, 617.363335
40, 9000, 9000, 9000, 2.506376, 581.716386
42, 9000, 9000, 9000, 2.334372, 624.579006
44, 9000, 9000, 9000, 2.465820, 591.284017
46, 9000, 9000, 9000, 2.308531, 631.570534
48, 9000, 9000, 9000, 2.505080, 582.017305
50, 9000, 9000, 9000, 2.317776, 629.051401
52, 9000, 9000, 9000, 2.577842, 565.589415
54, 9000, 9000, 9000, 2.272600, 641.555968
56, 9000, 9000, 9000, 2.669657, 546.137572
58, 9000, 9000, 9000, 2.465839, 591.279575
60, 9000, 9000, 9000, 2.683028, 543.415919
62, 9000, 9000, 9000, 2.482129, 587.398894
64, 9000, 9000, 9000, 2.731941, 533.686452
