cores, sizeM, sizeN, sizeK, time[s],gflops
1, 9000, 9000, 9000, 86.229124, 16.908440
2, 9000, 9000, 9000, 16.329402, 89.286797
3, 9000, 9000, 9000, 10.752322, 135.598619
4, 9000, 9000, 9000, 8.462062, 172.298430
5, 9000, 9000, 9000, 6.834885, 213.317407
6, 9000, 9000, 9000, 5.674503, 256.938780
7, 9000, 9000, 9000, 4.940119, 295.134617
8, 9000, 9000, 9000, 4.503142, 323.773940
9, 9000, 9000, 9000, 4.095591, 355.992555
10, 9000, 9000, 9000, 3.763288, 387.427210
11, 9000, 9000, 9000, 3.638624, 400.700921
12, 9000, 9000, 9000, 3.444416, 423.293806
14, 9000, 9000, 9000, 3.018973, 482.945664
16, 9000, 9000, 9000, 2.982721, 488.815472
18, 9000, 9000, 9000, 2.665063, 547.078999
20, 9000, 9000, 9000, 2.758282, 528.589900
22, 9000, 9000, 9000, 2.551758, 571.370842
24, 9000, 9000, 9000, 2.677844, 544.467784
26, 9000, 9000, 9000, 2.477055, 588.602083
28, 9000, 9000, 9000, 2.631041, 554.153219
30, 9000, 9000, 9000, 2.425187, 601.190849
32, 9000, 9000, 9000, 2.575496, 566.104481
34, 9000, 9000, 9000, 2.337880, 623.641999
36, 9000, 9000, 9000, 2.517423, 579.163698
38, 9000, 9000, 9000, 2.339148, 623.303986
40, 9000, 9000, 9000, 2.491516, 585.185895
42, 9000, 9000, 9000, 2.328165, 626.244246
44, 9000, 9000, 9000, 2.485873, 586.514299
46, 9000, 9000, 9000, 2.319485, 628.587930
48, 9000, 9000, 9000, 2.498650, 583.515210
50, 9000, 9000, 9000, 2.361746, 617.339892
52, 9000, 9000, 9000, 2.560831, 569.346449
54, 9000, 9000, 9000, 2.445013, 596.315820
56, 9000, 9000, 9000, 2.369331, 615.363529
58, 9000, 9000, 9000, 2.476307, 588.779935
60, 9000, 9000, 9000, 2.712212, 537.568602
62, 9000, 9000, 9000, 2.503109, 582.475710
64, 9000, 9000, 9000, 2.726274, 534.795908
