cores, sizeM, sizeN, sizeK, time[s],gflops
1, 9000, 9000, 9000, 23.323461, 62.512162
2, 9000, 9000, 9000, 11.939716, 122.113459
3, 9000, 9000, 9000, 11.984079, 121.661413
4, 9000, 9000, 9000, 8.054375, 181.019628
5, 9000, 9000, 9000, 6.107554, 238.720784
6, 9000, 9000, 9000, 4.244882, 343.472470
7, 9000, 9000, 9000, 4.336866, 336.187477
8, 9000, 9000, 9000, 3.331153, 437.686273
9, 9000, 9000, 9000, 3.333023, 437.440755
10, 9000, 9000, 9000, 2.982350, 488.876193
11, 9000, 9000, 9000, 2.683493, 543.321609
12, 9000, 9000, 9000, 2.357596, 618.426579
14, 9000, 9000, 9000, 2.083872, 699.658998
16, 9000, 9000, 9000, 1.996876, 730.140661
18, 9000, 9000, 9000, 1.706664, 854.297976
20, 9000, 9000, 9000, 1.600450, 910.993529
22, 9000, 9000, 9000, 1.502190, 970.583139
24, 9000, 9000, 9000, 1.419727, 1026.958337
26, 9000, 9000, 9000, 1.449205, 1006.069082
28, 9000, 9000, 9000, 1.356169, 1075.087334
30, 9000, 9000, 9000, 1.322283, 1102.638310
32, 9000, 9000, 9000, 1.315226, 1108.554476
34, 9000, 9000, 9000, 1.345950, 1083.250141
36, 9000, 9000, 9000, 1.251673, 1164.840665
38, 9000, 9000, 9000, 1.256859, 1160.034734
40, 9000, 9000, 9000, 1.148020, 1270.013004
42, 9000, 9000, 9000, 1.133240, 1286.576040
44, 9000, 9000, 9000, 1.154948, 1262.394986
46, 9000, 9000, 9000, 1.125842, 1295.030196
48, 9000, 9000, 9000, 1.115134, 1307.465700
50, 9000, 9000, 9000, 1.137716, 1281.514882
52, 9000, 9000, 9000, 1.216395, 1198.623720
54, 9000, 9000, 9000, 1.175607, 1240.209862
56, 9000, 9000, 9000, 1.178422, 1237.247864
58, 9000, 9000, 9000, 1.268417, 1149.464129
60, 9000, 9000, 9000, 1.195409, 1219.666066
62, 9000, 9000, 9000, 1.443221, 1010.240275
64, 9000, 9000, 9000, 1.194866, 1220.220501
