cores, sizeM, sizeN, sizeK, time[s],gflops
1, 9000, 9000, 9000, 25.256916, 57.726764
2, 9000, 9000, 9000, 13.106041, 111.246413
3, 9000, 9000, 9000, 12.971711, 112.398434
4, 9000, 9000, 9000, 8.710170, 167.390526
5, 9000, 9000, 9000, 6.698715, 217.653669
6, 9000, 9000, 9000, 4.663352, 312.650646
7, 9000, 9000, 9000, 4.594153, 317.359947
8, 9000, 9000, 9000, 3.626007, 402.095252
9, 9000, 9000, 9000, 3.631595, 401.476464
10, 9000, 9000, 9000, 3.353013, 434.832776
11, 9000, 9000, 9000, 2.991574, 487.368804
12, 9000, 9000, 9000, 2.574745, 566.269622
14, 9000, 9000, 9000, 2.302101, 633.334511
16, 9000, 9000, 9000, 2.149874, 678.179221
18, 9000, 9000, 9000, 1.855054, 785.960938
20, 9000, 9000, 9000, 1.727849, 843.823829
22, 9000, 9000, 9000, 1.685035, 865.263829
24, 9000, 9000, 9000, 1.524985, 956.075220
26, 9000, 9000, 9000, 1.529867, 953.023711
28, 9000, 9000, 9000, 1.436200, 1015.178959
30, 9000, 9000, 9000, 1.356845, 1074.551335
32, 9000, 9000, 9000, 1.309046, 1113.788095
34, 9000, 9000, 9000, 1.323708, 1101.451397
36, 9000, 9000, 9000, 1.264623, 1152.913173
38, 9000, 9000, 9000, 1.279205, 1139.770543
40, 9000, 9000, 9000, 1.173079, 1242.883137
42, 9000, 9000, 9000, 1.160032, 1256.862321
44, 9000, 9000, 9000, 1.164642, 1251.886921
46, 9000, 9000, 9000, 1.118340, 1303.718388
48, 9000, 9000, 9000, 1.128393, 1292.102702
50, 9000, 9000, 9000, 1.152167, 1265.441028
52, 9000, 9000, 9000, 1.239505, 1176.275897
54, 9000, 9000, 9000, 1.178961, 1236.681894
56, 9000, 9000, 9000, 1.189583, 1225.639801
58, 9000, 9000, 9000, 1.306540, 1115.924861
60, 9000, 9000, 9000, 1.228215, 1187.088705
62, 9000, 9000, 9000, 1.449409, 1005.927110
64, 9000, 9000, 9000, 1.211808, 1203.160805
