cores, sizeM, sizeN, sizeK, time[s],gflops
1, 9000, 9000, 9000, 66.353080, 21.973358
2, 9000, 9000, 9000, 15.917827, 91.595414
3, 9000, 9000, 9000, 10.498078, 138.882562
4, 9000, 9000, 9000, 8.124287, 179.461910
5, 9000, 9000, 9000, 6.506772, 224.074239
6, 9000, 9000, 9000, 5.527725, 263.761296
7, 9000, 9000, 9000, 4.849813, 300.630143
8, 9000, 9000, 9000, 4.329090, 336.791353
9, 9000, 9000, 9000, 3.837001, 379.984257
10, 9000, 9000, 9000, 3.582961, 406.925954
11, 9000, 9000, 9000, 3.401229, 428.668634
12, 9000, 9000, 9000, 3.312365, 440.168941
14, 9000, 9000, 9000, 2.815586, 517.831807
16, 9000, 9000, 9000, 2.589968, 562.941354
18, 9000, 9000, 9000, 2.243444, 649.893524
20, 9000, 9000, 9000, 2.099084, 694.588698
22, 9000, 9000, 9000, 2.060548, 707.578745
24, 9000, 9000, 9000, 2.099137, 694.570988
26, 9000, 9000, 9000, 2.078602, 701.433144
28, 9000, 9000, 9000, 2.159558, 675.138258
30, 9000, 9000, 9000, 2.054188, 709.769523
32, 9000, 9000, 9000, 2.175325, 670.244702
34, 9000, 9000, 9000, 2.017964, 722.510273
36, 9000, 9000, 9000, 1.942049, 750.753276
38, 9000, 9000, 9000, 2.018772, 722.221316
40, 9000, 9000, 9000, 1.761785, 827.569847
42, 9000, 9000, 9000, 1.866070, 781.321328
44, 9000, 9000, 9000, 1.698360, 858.475250
46, 9000, 9000, 9000, 1.781501, 818.410912
48, 9000, 9000, 9000, 1.649347, 883.986066
50, 9000, 9000, 9000, 1.754406, 831.050373
52, 9000, 9000, 9000, 1.815915, 802.901018
54, 9000, 9000, 9000, 1.840056, 792.367144
56, 9000, 9000, 9000, 1.885160, 773.409102
58, 9000, 9000, 9000, 1.940392, 751.394630
60, 9000, 9000, 9000, 1.907164, 764.486081
62, 9000, 9000, 9000, 1.924799, 757.481721
64, 9000, 9000, 9000, 1.966284, 741.500039
