cores, sizeM, sizeN, sizeK, time[s],gflops
1, 9000, 9000, 9000, 64.421729, 22.632115
2, 9000, 9000, 9000, 15.947645, 91.424156
3, 9000, 9000, 9000, 10.628653, 137.176372
4, 9000, 9000, 9000, 8.147260, 178.955880
5, 9000, 9000, 9000, 6.487168, 224.751398
6, 9000, 9000, 9000, 5.519095, 264.173749
7, 9000, 9000, 9000, 4.851856, 300.503561
8, 9000, 9000, 9000, 4.300509, 339.029603
9, 9000, 9000, 9000, 3.788918, 384.806404
10, 9000, 9000, 9000, 3.544327, 411.361563
11, 9000, 9000, 9000, 3.401770, 428.600464
12, 9000, 9000, 9000, 3.373941, 432.135597
14, 9000, 9000, 9000, 3.014251, 483.702235
16, 9000, 9000, 9000, 2.641014, 552.060725
18, 9000, 9000, 9000, 2.490748, 585.366286
20, 9000, 9000, 9000, 2.212777, 658.900456
22, 9000, 9000, 9000, 2.312492, 630.488607
24, 9000, 9000, 9000, 2.207752, 660.400184
26, 9000, 9000, 9000, 2.324358, 627.270013
28, 9000, 9000, 9000, 2.162938, 674.082989
30, 9000, 9000, 9000, 2.377841, 613.161155
32, 9000, 9000, 9000, 2.257061, 645.972684
34, 9000, 9000, 9000, 2.149543, 678.283834
36, 9000, 9000, 9000, 1.992370, 731.791757
38, 9000, 9000, 9000, 1.941306, 751.040711
40, 9000, 9000, 9000, 1.920390, 759.220743
42, 9000, 9000, 9000, 1.802468, 808.891075
44, 9000, 9000, 9000, 1.899399, 767.611409
46, 9000, 9000, 9000, 1.685240, 865.158536
48, 9000, 9000, 9000, 1.864755, 781.871967
50, 9000, 9000, 9000, 1.781447, 818.435597
52, 9000, 9000, 9000, 1.833370, 795.256839
54, 9000, 9000, 9000, 1.912149, 762.492805
56, 9000, 9000, 9000, 1.899857, 767.426239
58, 9000, 9000, 9000, 1.921543, 758.765295
60, 9000, 9000, 9000, 2.005806, 726.889988
62, 9000, 9000, 9000, 1.955625, 745.541879
64, 9000, 9000, 9000, 1.930823, 755.118455
