cores, sizeM, sizeN, sizeK, time[s],gflops
1, 9000, 9000, 9000, 15.392118, 94.723807
2, 9000, 9000, 9000, 7.656310, 190.431172
3, 9000, 9000, 9000, 5.069750, 287.588154
4, 9000, 9000, 9000, 3.979133, 366.411491
5, 9000, 9000, 9000, 3.239610, 450.054170
6, 9000, 9000, 9000, 2.810933, 518.689011
7, 9000, 9000, 9000, 2.445296, 596.246887
8, 9000, 9000, 9000, 2.130776, 684.257829
9, 9000, 9000, 9000, 1.815356, 803.148279
10, 9000, 9000, 9000, 1.636939, 890.686942
11, 9000, 9000, 9000, 1.548695, 941.437719
12, 9000, 9000, 9000, 1.497684, 973.502839
14, 9000, 9000, 9000, 1.322195, 1102.711732
16, 9000, 9000, 9000, 1.163620, 1252.986358
18, 9000, 9000, 9000, 1.051072, 1387.155338
20, 9000, 9000, 9000, 0.986219, 1478.373081
22, 9000, 9000, 9000, 0.968246, 1505.815545
24, 9000, 9000, 9000, 0.958054, 1521.834565
26, 9000, 9000, 9000, 0.966555, 1508.449352
28, 9000, 9000, 9000, 0.965969, 1509.365309
30, 9000, 9000, 9000, 0.773681, 1884.497095
32, 9000, 9000, 9000, 0.759732, 1919.097815
34, 9000, 9000, 9000, 0.779976, 1869.288130
36, 9000, 9000, 9000, 0.780154, 1868.862163
38, 9000, 9000, 9000, 0.815843, 1787.109132
40, 9000, 9000, 9000, 0.819059, 1780.090475
42, 9000, 9000, 9000, 0.853919, 1707.421218
44, 9000, 9000, 9000, 0.798078, 1826.888437
46, 9000, 9000, 9000, 0.834937, 1746.239647
48, 9000, 9000, 9000, 0.820866, 1776.174029
50, 9000, 9000, 9000, 0.874275, 1667.667914
52, 9000, 9000, 9000, 0.931261, 1565.618941
54, 9000, 9000, 9000, 0.987196, 1476.909947
56, 9000, 9000, 9000, 0.984728, 1480.612078
58, 9000, 9000, 9000, 1.071944, 1360.145766
60, 9000, 9000, 9000, 1.129730, 1290.574117
62, 9000, 9000, 9000, 1.091832, 1335.369860
64, 9000, 9000, 9000, 1.054669, 1382.423909
