cores, sizeM, sizeN, sizeK, time[s],gflops
1, 9000, 9000, 9000, 15.452309, 94.354833
2, 9000, 9000, 9000, 7.919877, 184.093769
3, 9000, 9000, 9000, 5.118039, 284.874710
4, 9000, 9000, 9000, 4.050351, 359.968799
5, 9000, 9000, 9000, 3.251212, 448.448201
6, 9000, 9000, 9000, 2.822069, 516.642216
7, 9000, 9000, 9000, 2.479653, 587.985448
8, 9000, 9000, 9000, 2.150677, 677.926194
9, 9000, 9000, 9000, 1.825943, 798.491417
10, 9000, 9000, 9000, 1.714451, 850.418090
11, 9000, 9000, 9000, 1.597754, 912.531009
12, 9000, 9000, 9000, 1.516849, 961.203175
14, 9000, 9000, 9000, 1.331503, 1095.003002
16, 9000, 9000, 9000, 1.162368, 1254.336384
18, 9000, 9000, 9000, 1.064765, 1369.316233
20, 9000, 9000, 9000, 0.969242, 1504.268917
22, 9000, 9000, 9000, 0.961004, 1517.163932
24, 9000, 9000, 9000, 0.978402, 1490.185045
26, 9000, 9000, 9000, 0.992296, 1469.319279
28, 9000, 9000, 9000, 0.978338, 1490.282684
30, 9000, 9000, 9000, 0.855414, 1704.437409
32, 9000, 9000, 9000, 0.818219, 1781.918571
34, 9000, 9000, 9000, 0.836379, 1743.229802
36, 9000, 9000, 9000, 0.803595, 1814.346939
38, 9000, 9000, 9000, 0.850615, 1714.053709
40, 9000, 9000, 9000, 0.864507, 1686.510602
42, 9000, 9000, 9000, 0.884227, 1648.896973
44, 9000, 9000, 9000, 0.887948, 1641.988701
46, 9000, 9000, 9000, 0.876172, 1664.056295
48, 9000, 9000, 9000, 0.864040, 1687.420980
50, 9000, 9000, 9000, 0.911153, 1600.170810
52, 9000, 9000, 9000, 0.954651, 1527.260164
54, 9000, 9000, 9000, 1.007797, 1446.719269
56, 9000, 9000, 9000, 1.108169, 1315.684382
58, 9000, 9000, 9000, 1.081320, 1348.352100
60, 9000, 9000, 9000, 1.105700, 1318.621479
62, 9000, 9000, 9000, 1.098580, 1327.168332
64, 9000, 9000, 9000, 1.009128, 1444.812360
