cores, sizeM, sizeN, sizeK, time[s],gflops
1, 9000, 9000, 9000, 36.711392, 39.715193
2, 9000, 9000, 9000, 19.314277, 75.488201
3, 9000, 9000, 9000, 12.548299, 116.191051
4, 9000, 9000, 9000, 11.321840, 128.777660
5, 9000, 9000, 9000, 8.315181, 175.341949
6, 9000, 9000, 9000, 6.753862, 215.876481
7, 9000, 9000, 9000, 5.685395, 256.446569
8, 9000, 9000, 9000, 5.180795, 281.424014
9, 9000, 9000, 9000, 4.793859, 304.139098
10, 9000, 9000, 9000, 4.608286, 316.386630
11, 9000, 9000, 9000, 3.467765, 420.443775
12, 9000, 9000, 9000, 3.806492, 383.029839
14, 9000, 9000, 9000, 6.688920, 217.972403
16, 9000, 9000, 9000, 6.137504, 237.555858
18, 9000, 9000, 9000, 5.342167, 272.922959
20, 9000, 9000, 9000, 5.037553, 289.426230
22, 9000, 9000, 9000, 5.576804, 261.440082
24, 9000, 9000, 9000, 4.482444, 325.268972
26, 9000, 9000, 9000, 7.160207, 203.625402
28, 9000, 9000, 9000, 5.739577, 254.025670
30, 9000, 9000, 9000, 5.521333, 264.066647
32, 9000, 9000, 9000, 4.885005, 298.464384
34, 9000, 9000, 9000, 6.652583, 219.163007
36, 9000, 9000, 9000, 4.827503, 302.019463
38, 9000, 9000, 9000, 7.174558, 203.218102
40, 9000, 9000, 9000, 5.460700, 266.998714
42, 9000, 9000, 9000, 5.274094, 276.445587
44, 9000, 9000, 9000, 5.299376, 275.126749
46, 9000, 9000, 9000, 7.162224, 203.568046
48, 9000, 9000, 9000, 5.076192, 287.223153
50, 9000, 9000, 9000, 5.687543, 256.349716
52, 9000, 9000, 9000, 5.623510, 259.268678
54, 9000, 9000, 9000, 5.511845, 264.521247
56, 9000, 9000, 9000, 5.033757, 289.644504
58, 9000, 9000, 9000, 6.828663, 213.511793
60, 9000, 9000, 9000, 4.968298, 293.460644
62, 9000, 9000, 9000, 7.631151, 191.058979
64, 9000, 9000, 9000, 5.711421, 255.277992
