cores, sizeM, sizeN, sizeK, time[s],gflops
1,,,,,
2, 9000, 9000, 9000, 11.265528, 129.421358
3, 9000, 9000, 9000, 7.311458, 199.413041
4, 9000, 9000, 9000, 5.400450, 269.977496
5, 9000, 9000, 9000, 4.856842, 300.195069
6, 9000, 9000, 9000, 3.876782, 376.085102
7, 9000, 9000, 9000, 3.267892, 446.159125
8, 9000, 9000, 9000, 2.771138, 526.137557
9, 9000, 9000, 9000, 2.463148, 591.925446
10, 9000, 9000, 9000, 2.206045, 660.911414
11, 9000, 9000, 9000, 1.989162, 732.972134
12, 9000, 9000, 9000, 1.829151, 797.091243
