cores, sizeM, sizeN, sizeK, time[s],gflops
1,,,,,
2, 9000, 9000, 9000, 11.331642, 128.666260
3, 9000, 9000, 9000, 7.301871, 199.674859
4, 9000, 9000, 9000, 5.411598, 269.421367
5, 9000, 9000, 9000, 4.951808, 294.437885
6, 9000, 9000, 9000, 3.876356, 376.126422
7, 9000, 9000, 9000, 3.268783, 446.037557
8, 9000, 9000, 9000, 2.780367, 524.391273
9, 9000, 9000, 9000, 2.457362, 593.319176
10, 9000, 9000, 9000, 2.238019, 651.469007
11, 9000, 9000, 9000, 1.993043, 731.544502
12, 9000, 9000, 9000, 1.830516, 796.496877
