cores, sizeM, sizeN, sizeK, time[s],gflops
1, 9000, 9000, 9000, 11.030874, 132.174480
2, 9000, 9000, 9000, 5.584088, 261.099042
3, 9000, 9000, 9000, 3.691613, 394.949312
4, 9000, 9000, 9000, 2.740882, 531.945514
5, 9000, 9000, 9000, 2.491910, 585.093330
6, 9000, 9000, 9000, 1.961660, 743.247915
7, 9000, 9000, 9000, 1.677692, 869.051000
8, 9000, 9000, 9000, 1.404816, 1037.858420
9, 9000, 9000, 9000, 1.253742, 1162.918828
10, 9000, 9000, 9000, 1.123747, 1297.445002
11, 9000, 9000, 9000, 1.000360, 1457.475721
12, 9000, 9000, 9000, 0.915443, 1592.671467
