cores, sizeM, sizeN, sizeK, time[s],gflops
1, 9000, 9000, 9000, 11.022115, 132.279517
2, 9000, 9000, 9000, 5.652664, 257.931497
3, 9000, 9000, 9000, 3.675963, 396.630768
4, 9000, 9000, 9000, 2.705376, 538.926946
5, 9000, 9000, 9000, 2.460061, 592.668350
6, 9000, 9000, 9000, 1.953885, 746.205510
7, 9000, 9000, 9000, 1.672675, 871.657682
8, 9000, 9000, 9000, 1.409296, 1034.559415
9, 9000, 9000, 9000, 1.250325, 1166.097122
10, 9000, 9000, 9000, 1.115886, 1306.585167
11, 9000, 9000, 9000, 0.996916, 1462.509817
12, 9000, 9000, 9000, 0.914150, 1594.923789
