cores, sizeM, sizeN, sizeK, time[s],gflops
1,,,,,
2, 9000, 9000, 9000, 11.150376, 130.757923
3, 9000, 9000, 9000, 7.428307, 196.276215
4, 9000, 9000, 9000, 5.452406, 267.404879
5, 9000, 9000, 9000, 4.980617, 292.734797
6, 9000, 9000, 9000, 4.193247, 347.701879
7, 9000, 9000, 9000, 3.549251, 410.790932
8, 9000, 9000, 9000, 2.970473, 490.830857
9, 9000, 9000, 9000, 2.698229, 540.354468
10, 9000, 9000, 9000, 2.410056, 604.965302
11, 9000, 9000, 9000, 2.212303, 659.041803
12, 9000, 9000, 9000, 1.914303, 761.635053
