cores, sizeM, sizeN, sizeK, time[s],gflops
1,,,,,
2, 9000, 9000, 9000, 11.586725, 125.833660
3, 9000, 9000, 9000, 8.271969, 176.257911
4, 9000, 9000, 9000, 6.161207, 236.641958
5, 9000, 9000, 9000, 5.061875, 288.035566
6, 9000, 9000, 9000, 4.129243, 353.091375
7, 9000, 9000, 9000, 3.549652, 410.744519
8, 9000, 9000, 9000, 3.019499, 482.861544
9, 9000, 9000, 9000, 2.722468, 535.543554
10, 9000, 9000, 9000, 2.461741, 592.263730
11, 9000, 9000, 9000, 2.215549, 658.076190
12, 9000, 9000, 9000, 1.909134, 763.697185
