cores, sizeM, sizeN, sizeK, time[s],gflops
1, 9000, 9000, 9000, 10.786409, 135.170099
2, 9000, 9000, 9000, 5.603673, 260.186500
3, 9000, 9000, 9000, 3.629146, 401.747433
4, 9000, 9000, 9000, 2.739485, 532.216811
5, 9000, 9000, 9000, 2.477527, 588.490130
6, 9000, 9000, 9000, 1.996617, 730.235206
7, 9000, 9000, 9000, 1.681439, 867.114620
8, 9000, 9000, 9000, 1.467140, 993.769854
9, 9000, 9000, 9000, 1.294198, 1126.566725
10, 9000, 9000, 9000, 1.183872, 1231.552544
11, 9000, 9000, 9000, 0.999373, 1458.914313
12, 9000, 9000, 9000, 0.904884, 1611.255865
