cores, sizeM, sizeN, sizeK, time[s],gflops
1, 9000, 9000, 9000, 10.700681, 136.253004
2, 9000, 9000, 9000, 5.582044, 261.194639
3, 9000, 9000, 9000, 3.651839, 399.250899
4, 9000, 9000, 9000, 2.711480, 537.713678
5, 9000, 9000, 9000, 2.487718, 586.079394
6, 9000, 9000, 9000, 1.988941, 733.053417
7, 9000, 9000, 9000, 1.683404, 866.102216
8, 9000, 9000, 9000, 1.500052, 971.966133
9, 9000, 9000, 9000, 1.302977, 1118.976280
10, 9000, 9000, 9000, 1.188933, 1226.309907
11, 9000, 9000, 9000, 1.009496, 1444.285153
12, 9000, 9000, 9000, 0.906653, 1608.112848
