cores, sizeM, sizeN, sizeK, time[s],gflops
64, 2000, 2000, 2000, 0.050442, 317.196522
64, 4000, 4000, 4000, 0.166368, 769.380706
64, 6000, 6000, 6000, 0.639425, 675.606939
64, 8000, 8000, 8000, 1.319775, 775.889709
64, 10000, 10000, 10000, 2.349271, 851.327880
64, 12000, 12000, 12000, 3.603683, 959.018819
64, 14000, 14000, 14000, 6.208544, 883.943128
64, 16000, 16000, 16000, 7.085039, 1156.239156
64, 18000, 18000, 18000, 11.552143, 1009.682777
64, 20000, 20000, 20000, 17.215079, 929.417776
64, 2000, 2000, 10000, 0.110475, 724.147675
64, 4000, 4000, 10000, 0.369336, 866.419263
64, 6000, 6000, 10000, 1.065694, 675.616129
64, 8000, 8000, 10000, 1.647644, 776.867072
64, 10000, 10000, 10000, 2.351138, 850.651858
64, 12000, 12000, 10000, 2.765048, 1041.573411
64, 14000, 14000, 10000, 4.061786, 965.092656
64, 16000, 16000, 10000, 5.821006, 879.572999
64, 18000, 18000, 10000, 7.130581, 908.761848
64, 20000, 20000, 10000, 7.385149, 1083.255130
