cores, sizeM, sizeN, sizeK, time[s],gflops
64, 2000, 2000, 2000, 0.023112, 692.295384
64, 4000, 4000, 4000, 0.069078, 1852.990910
64, 6000, 6000, 6000, 0.238830, 1808.819146
64, 8000, 8000, 8000, 0.798665, 1282.138922
64, 10000, 10000, 10000, 1.357636, 1473.148990
64, 12000, 12000, 12000, 2.129224, 1623.126664
64, 14000, 14000, 14000, 2.991804, 1834.345059
64, 16000, 16000, 16000, 4.908235, 1669.031686
64, 18000, 18000, 18000, 5.413692, 2154.536945
64, 20000, 20000, 20000, 6.981114, 2291.897697
64, 2000, 2000, 10000, 0.065928, 1213.452866
64, 4000, 4000, 10000, 0.144867, 2208.921676
64, 6000, 6000, 10000, 0.410198, 1755.248333
64, 8000, 8000, 10000, 1.007360, 1270.648646
64, 10000, 10000, 10000, 1.366001, 1464.127947
64, 12000, 12000, 10000, 1.716261, 1678.066637
64, 14000, 14000, 10000, 2.304434, 1701.068664
64, 16000, 16000, 10000, 2.835827, 1805.469684
64, 18000, 18000, 10000, 3.453686, 1876.256044
64, 20000, 20000, 10000, 4.619155, 1731.918365
