cores, sizeM, sizeN, sizeK, time[s],gflops
64, 2000, 2000, 2000, 0.039570, 404.350702
64, 4000, 4000, 4000, 0.212609, 602.043681
64, 6000, 6000, 6000, 0.796475, 542.390165
64, 8000, 8000, 8000, 1.925314, 531.861201
64, 10000, 10000, 10000, 3.484680, 573.940716
64, 12000, 12000, 12000, 5.304521, 651.519713
64, 14000, 14000, 14000, 9.728318, 564.126323
64, 16000, 16000, 16000, 9.669799, 847.173746
64, 18000, 18000, 18000, 12.776564, 912.921523
64, 20000, 20000, 20000, 27.346276, 585.088801
64, 2000, 2000, 10000, 0.151751, 527.178493
64, 4000, 4000, 10000, 0.501491, 638.097428
64, 6000, 6000, 10000, 1.312142, 548.721303
64, 8000, 8000, 10000, 2.383823, 536.952565
64, 10000, 10000, 10000, 3.507346, 570.231684
64, 12000, 12000, 10000, 3.809262, 756.051989
64, 14000, 14000, 10000, 6.361560, 616.201020
64, 16000, 16000, 10000, 9.146525, 559.775421
64, 18000, 18000, 10000, 11.376346, 569.602923
64, 20000, 20000, 10000, 11.851050, 675.045643
