cores, sizeM, sizeN, sizeK, time[s],gflops
64, 2000, 2000, 2000, 0.067787, 236.032897
64, 4000, 4000, 4000, 0.205482, 622.924363
64, 6000, 6000, 6000, 0.803979, 537.327465
64, 8000, 8000, 8000, 1.923448, 532.377241
64, 10000, 10000, 10000, 3.493800, 572.442653
64, 12000, 12000, 12000, 5.326119, 648.877673
64, 14000, 14000, 14000, 9.691975, 566.241653
64, 16000, 16000, 16000, 9.619816, 851.575509
64, 18000, 18000, 18000, 16.981959, 686.846564
64, 20000, 20000, 20000, 27.228552, 587.618463
64, 2000, 2000, 10000, 0.142832, 560.099754
64, 4000, 4000, 10000, 0.464477, 688.947165
64, 6000, 6000, 10000, 1.324343, 543.665780
64, 8000, 8000, 10000, 2.356093, 543.272238
64, 10000, 10000, 10000, 3.526078, 567.202349
64, 12000, 12000, 10000, 4.738299, 607.813022
64, 14000, 14000, 10000, 6.365395, 615.829817
64, 16000, 16000, 10000, 9.165393, 558.623091
64, 18000, 18000, 10000, 11.188773, 579.152001
64, 20000, 20000, 10000, 11.381005, 702.925619
