cores, sizeM, sizeN, sizeK, time[s],gflops
64, 2000, 2000, 2000, 0.021963, 728.501909
64, 4000, 4000, 4000, 0.062523, 2047.232861
64, 6000, 6000, 6000, 0.242119, 1784.243347
64, 8000, 8000, 8000, 0.787118, 1300.948720
64, 10000, 10000, 10000, 1.563937, 1278.823608
64, 12000, 12000, 12000, 2.689494, 1284.999964
64, 14000, 14000, 14000, 3.942403, 1392.044356
64, 16000, 16000, 16000, 4.368827, 1875.102651
64, 18000, 18000, 18000, 8.778320, 1328.728053
64, 20000, 20000, 20000, 10.311203, 1551.710308
64, 2000, 2000, 10000, 0.064037, 1249.273099
64, 4000, 4000, 10000, 0.133734, 2392.809410
64, 6000, 6000, 10000, 0.401968, 1791.186636
64, 8000, 8000, 10000, 0.957986, 1336.136502
64, 10000, 10000, 10000, 1.572327, 1272.000086
64, 12000, 12000, 10000, 2.254821, 1277.263456
64, 14000, 14000, 10000, 3.074825, 1274.869276
64, 16000, 16000, 10000, 3.276976, 1562.416034
64, 18000, 18000, 10000, 4.841513, 1338.424588
64, 20000, 20000, 10000, 5.866142, 1363.758213
