cores, sizeM, sizeN, sizeK, time[s],gflops
64, 2000, 2000, 2000, 0.046178, 346.482150
64, 4000, 4000, 4000, 0.242936, 526.887582
64, 6000, 6000, 6000, 0.779641, 554.100857
64, 8000, 8000, 8000, 1.453711, 704.404282
64, 10000, 10000, 10000, 2.444706, 818.094354
64, 12000, 12000, 12000, 3.823929, 903.782516
64, 14000, 14000, 14000, 6.464828, 848.901134
64, 16000, 16000, 16000, 7.366070, 1112.126298
64, 18000, 18000, 18000, 8.985303, 1298.119825
64, 20000, 20000, 20000, 15.948214, 1003.247142
64, 2000, 2000, 10000, 0.184358, 433.937948
64, 4000, 4000, 10000, 0.624400, 512.492346
64, 6000, 6000, 10000, 1.307778, 550.552357
64, 8000, 8000, 10000, 1.782493, 718.095267
64, 10000, 10000, 10000, 2.434972, 821.364721
64, 12000, 12000, 10000, 3.359970, 857.150523
64, 14000, 14000, 10000, 4.291014, 913.537075
64, 16000, 16000, 10000, 6.114413, 837.365711
64, 18000, 18000, 10000, 7.709415, 840.530748
64, 20000, 20000, 10000, 7.842235, 1020.117395
