cores, sizeM, sizeN, sizeK, time[s],gflops
64, 2000, 2000, 2000, 0.027744, 576.698878
64, 4000, 4000, 4000, 0.108006, 1185.118797
64, 6000, 6000, 6000, 0.331286, 1304.008611
64, 8000, 8000, 8000, 0.750809, 1363.861300
64, 10000, 10000, 10000, 1.236410, 1617.586352
64, 12000, 12000, 12000, 1.890254, 1828.325935
64, 14000, 14000, 14000, 2.865616, 1915.120374
64, 16000, 16000, 16000, 4.199812, 1950.563572
64, 18000, 18000, 18000, 5.077567, 2297.163036
64, 20000, 20000, 20000, 6.342331, 2522.731687
64, 2000, 2000, 10000, 0.094962, 842.445168
64, 4000, 4000, 10000, 0.248481, 1287.825352
64, 6000, 6000, 10000, 0.544797, 1321.592574
64, 8000, 8000, 10000, 0.942916, 1357.490652
64, 10000, 10000, 10000, 1.259777, 1587.582502
64, 12000, 12000, 10000, 1.639075, 1757.088394
64, 14000, 14000, 10000, 2.291052, 1711.004007
64, 16000, 16000, 10000, 2.754423, 1858.828358
64, 18000, 18000, 10000, 3.302198, 1962.329351
64, 20000, 20000, 10000, 3.878570, 2062.616115
