cores, sizeM, sizeN, sizeK, time[s],gflops
12, 2000, 2000, 2000, 0.041169, 388.642374
12, 4000, 4000, 4000, 0.275324, 464.906659
12, 6000, 6000, 6000, 0.956043, 451.862329
12, 8000, 8000, 8000, 2.517778, 406.707798
12, 10000, 10000, 10000, 4.633077, 431.678593
12, 12000, 12000, 12000, 8.581824, 402.711577
12, 14000, 14000, 14000, 13.232448, 414.738089
12, 16000, 16000, 16000, 20.595037, 397.765733
12, 18000, 18000, 18000, 28.961501, 402.741555
12, 20000, 20000, 20000, 38.991239, 410.348596
12, 2000, 2000, 10000, 0.174285, 459.017403
12, 4000, 4000, 10000, 0.658272, 486.121462
12, 6000, 6000, 10000, 1.543090, 466.596312
12, 8000, 8000, 10000, 2.956388, 432.960825
12, 10000, 10000, 10000, 5.101113, 392.071317
12, 12000, 12000, 10000, 7.004167, 411.183789
12, 14000, 14000, 10000, 10.334674, 379.305622
12, 16000, 16000, 10000, 12.291623, 416.543860
12, 18000, 18000, 10000, 15.000438, 431.987374
12, 20000, 20000, 10000, 19.391382, 412.554392
