cores, sizeM, sizeN, sizeK, time[s],gflops
12, 2000, 2000, 2000, 0.039618, 403.857373
12, 4000, 4000, 4000, 0.270070, 473.950710
12, 6000, 6000, 6000, 0.943288, 457.972653
12, 8000, 8000, 8000, 2.623943, 390.252409
12, 10000, 10000, 10000, 4.663964, 428.819800
12, 12000, 12000, 12000, 8.942689, 386.460957
12, 14000, 14000, 14000, 13.235013, 414.657697
12, 16000, 16000, 16000, 20.772263, 394.372048
12, 18000, 18000, 18000, 29.081084, 401.085463
12, 20000, 20000, 20000, 38.680430, 413.645871
12, 2000, 2000, 10000, 0.171678, 465.988927
12, 4000, 4000, 10000, 0.641392, 498.915011
12, 6000, 6000, 10000, 1.498644, 480.434320
12, 8000, 8000, 10000, 2.915574, 439.021633
12, 10000, 10000, 10000, 4.468815, 447.545912
12, 12000, 12000, 10000, 6.960149, 413.784272
12, 14000, 14000, 10000, 10.590862, 370.130408
12, 16000, 16000, 10000, 12.330777, 415.221195
12, 18000, 18000, 10000, 15.445501, 419.539636
12, 20000, 20000, 10000, 20.225797, 395.534473
