cores, sizeM, sizeN, sizeK, time[s],gflops
12, 2000, 2000, 2000, 0.022751, 703.250459
12, 4000, 4000, 4000, 0.131322, 974.700929
12, 6000, 6000, 6000, 0.414819, 1041.418489
12, 8000, 8000, 8000, 0.988896, 1035.498693
12, 10000, 10000, 10000, 2.253432, 887.534909
12, 12000, 12000, 12000, 3.802581, 908.856433
12, 14000, 14000, 14000, 5.686394, 965.110743
12, 16000, 16000, 16000, 8.465468, 967.696025
12, 18000, 18000, 18000, 12.933019, 901.877602
12, 20000, 20000, 20000, 17.427386, 918.095227
12, 2000, 2000, 10000, 0.087577, 913.479211
12, 4000, 4000, 10000, 0.324073, 987.430491
12, 6000, 6000, 10000, 0.679965, 1058.878289
12, 8000, 8000, 10000, 1.283849, 997.001789
12, 10000, 10000, 10000, 1.956532, 1022.216875
12, 12000, 12000, 10000, 3.055836, 942.458890
12, 14000, 14000, 10000, 4.506750, 869.806455
12, 16000, 16000, 10000, 5.018235, 1020.278941
12, 18000, 18000, 10000, 7.201807, 899.774154
12, 20000, 20000, 10000, 8.333167, 960.019146
