cores, sizeM, sizeN, sizeK, time[s],gflops
12, 2000, 2000, 2000, 0.069836, 229.106789
12, 4000, 4000, 4000, 0.157338, 813.537741
12, 6000, 6000, 6000, 0.495135, 872.490068
12, 8000, 8000, 8000, 1.167187, 877.322632
12, 10000, 10000, 10000, 2.326037, 859.831634
12, 12000, 12000, 12000, 3.985949, 867.045817
12, 14000, 14000, 14000, 6.294005, 871.940803
12, 16000, 16000, 16000, 9.150193, 895.281623
12, 18000, 18000, 18000, 12.949500, 900.729745
12, 20000, 20000, 20000, 18.520064, 863.927923
12, 2000, 2000, 10000, 0.116540, 686.457305
12, 4000, 4000, 10000, 0.369064, 867.058831
12, 6000, 6000, 10000, 0.804944, 894.472378
12, 8000, 8000, 10000, 1.476739, 866.774912
12, 10000, 10000, 10000, 2.308897, 866.214496
12, 12000, 12000, 10000, 3.313126, 869.269686
12, 14000, 14000, 10000, 4.495355, 872.011223
12, 16000, 16000, 10000, 6.050037, 846.275773
12, 18000, 18000, 10000, 7.457933, 868.873429
12, 20000, 20000, 10000, 9.114413, 877.730680
