cores, sizeM, sizeN, sizeK, time[s],gflops
12, 2000, 2000, 2000, 0.297412, 53.797469
12, 4000, 4000, 4000, 0.084739, 1510.517990
12, 6000, 6000, 6000, 0.261609, 1651.322094
12, 8000, 8000, 8000, 0.579037, 1768.453194
12, 10000, 10000, 10000, 1.190604, 1679.819437
12, 12000, 12000, 12000, 2.084575, 1657.892013
12, 14000, 14000, 14000, 3.180308, 1725.618819
12, 16000, 16000, 16000, 4.723946, 1734.143386
12, 18000, 18000, 18000, 6.647795, 1754.566657
12, 20000, 20000, 20000, 9.324117, 1715.980118
12, 2000, 2000, 10000, 0.065365, 1223.897199
12, 4000, 4000, 10000, 0.197342, 1621.552706
12, 6000, 6000, 10000, 0.427471, 1684.326404
12, 8000, 8000, 10000, 0.724107, 1767.694129
12, 10000, 10000, 10000, 1.175793, 1700.979456
12, 12000, 12000, 10000, 1.685409, 1708.783952
12, 14000, 14000, 10000, 2.275864, 1722.422926
12, 16000, 16000, 10000, 2.919278, 1753.858082
12, 18000, 18000, 10000, 3.817202, 1697.578393
12, 20000, 20000, 10000, 4.769016, 1677.494830
