cores, sizeM, sizeN, sizeK, time[s],gflops
12, 2000, 2000, 2000, 0.029607, 540.408944
12, 4000, 4000, 4000, 0.184514, 693.714527
12, 6000, 6000, 6000, 0.562369, 768.179212
12, 8000, 8000, 8000, 1.474601, 694.425120
12, 10000, 10000, 10000, 2.625323, 761.811097
12, 12000, 12000, 12000, 4.676678, 738.986165
12, 14000, 14000, 14000, 7.420268, 739.595923
12, 16000, 16000, 16000, 10.979389, 746.125302
12, 18000, 18000, 18000, 14.602636, 798.759871
12, 20000, 20000, 20000, 19.475790, 821.532777
12, 2000, 2000, 10000, 0.119001, 672.262761
12, 4000, 4000, 10000, 0.416716, 767.909070
12, 6000, 6000, 10000, 0.886121, 812.530462
12, 8000, 8000, 10000, 1.959366, 653.272558
12, 10000, 10000, 10000, 2.644687, 756.233260
12, 12000, 12000, 10000, 4.014488, 717.401512
12, 14000, 14000, 10000, 5.534817, 708.243776
12, 16000, 16000, 10000, 6.692865, 764.993792
12, 18000, 18000, 10000, 8.591164, 754.263356
12, 20000, 20000, 10000, 10.846115, 737.591294
