cores, sizeM, sizeN, sizeK, time[s],gflops
12, 2000, 2000, 2000, 0.015628, 1023.770937
12, 4000, 4000, 4000, 0.085484, 1497.359839
12, 6000, 6000, 6000, 0.279443, 1545.932134
12, 8000, 8000, 8000, 0.602735, 1698.922787
12, 10000, 10000, 10000, 1.294872, 1544.554750
12, 12000, 12000, 12000, 2.104186, 1642.440611
12, 14000, 14000, 14000, 3.224817, 1701.802083
12, 16000, 16000, 16000, 4.904375, 1670.345310
12, 18000, 18000, 18000, 7.149209, 1631.509181
12, 20000, 20000, 20000, 9.716290, 1646.719129
12, 2000, 2000, 10000, 0.062056, 1289.164537
12, 4000, 4000, 10000, 0.201911, 1584.853539
12, 6000, 6000, 10000, 0.443307, 1624.157037
12, 8000, 8000, 10000, 0.743007, 1722.729073
12, 10000, 10000, 10000, 1.293830, 1545.797845
12, 12000, 12000, 10000, 1.773167, 1624.212680
12, 14000, 14000, 10000, 2.497342, 1569.668586
12, 16000, 16000, 10000, 2.982019, 1716.957738
12, 18000, 18000, 10000, 4.230117, 1531.872700
12, 20000, 20000, 10000, 4.844813, 1651.250466
